DATE;TIME;OPEN;HIGH;LOW;CLOSE;TICKVOL;VOL;SPREAD
2019.02.06;12:00:00;98199;98584;98149;98349;170592;581828;5
2019.02.06;13:00:00;98349;98549;98194;98449;136731;506681;5
2019.02.06;14:00:00;98449;98484;98069;98114;134212;504256;5
2019.02.06;15:00:00;98114;98299;98069;98219;109642;413672;5
2019.02.06;16:00:00;98214;98244;97094;97314;249139;1007492;5
2019.02.06;17:00:00;97309;97389;96419;96439;158626;700308;5
2019.02.06;18:00:00;96439;96474;96239;96454;20847;74660;5
2019.02.07;09:00:00;96512;97056;96236;96826;275460;853215;0
2019.02.07;10:00:00;96826;97431;96816;97176;274793;921755;5
2019.02.07;11:00:00;97176;97266;96316;96986;239126;842222;5
2019.02.07;12:00:00;96986;97206;96571;97111;193584;675529;5
2019.02.07;13:00:00;97111;97286;96801;96856;166039;581066;5
2019.02.07;14:00:00;96856;96976;95526;95566;268416;982797;5
2019.02.07;15:00:00;95561;95856;95271;95806;207294;815088;5
2019.02.07;16:00:00;95806;96491;95796;95926;179327;754353;5
2019.02.07;17:00:00;95931;96361;95496;95996;151696;640997;5
2019.02.07;18:00:00;96001;96181;95961;96121;7087;23132;5
2019.02.08;09:00:00;95850;96596;95416;95671;309692;1007859;0
2019.02.08;10:00:00;95666;96501;95466;96261;302706;1031817;5
2019.02.08;11:00:00;96261;96946;96156;96766;215565;770297;5
2019.02.08;12:00:00;96766;97111;96431;96511;230457;851074;5
2019.02.08;13:00:00;96511;96651;95816;95866;220248;812481;5
2019.02.08;14:00:00;95861;95991;95151;95871;253714;921049;5
2019.02.08;15:00:00;95866;96746;95781;96666;190812;781287;5
2019.02.08;16:00:00;96666;96961;96391;96746;153068;603484;5
2019.02.08;17:00:00;96751;97331;96681;97141;112216;486874;5
2019.02.08;18:00:00;97141;97231;96786;96786;8830;39156;5
2019.02.11;09:00:00;97530;97843;97253;97578;204579;656090;0
2019.02.11;10:00:00;97578;97608;96643;96918;309632;995432;5
2019.02.11;11:00:00;96923;97033;96368;96968;230054;779263;5
2019.02.11;12:00:00;96968;97013;95788;95873;228697;821967;5
2019.02.11;13:00:00;95873;96043;95463;95888;214063;786907;5
2019.02.11;14:00:00;95888;96148;95508;96083;169235;618140;5
2019.02.11;15:00:00;96083;96368;95738;96253;176491;670705;5
2019.02.11;16:00:00;96258;96463;95968;96218;153191;575760;5
2019.02.11;17:00:00;96218;96803;96068;96193;128704;537334;5
2019.02.11;18:00:00;96198;96253;96083;96083;7245;27877;5
2019.02.12;09:00:00;96669;97289;96669;97264;186990;604960;0
2019.02.12;10:00:00;97264;97569;97099;97384;265206;900408;5
2019.02.12;11:00:00;97384;97594;97014;97254;208710;732664;5
2019.02.12;12:00:00;97259;97509;96894;97399;200751;730456;5
2019.02.12;13:00:00;97404;97454;96929;97329;177836;644905;5
2019.02.12;14:00:00;97329;97714;97259;97529;165695;614724;5
2019.02.12;15:00:00;97534;98114;97429;98044;180312;666828;5
2019.02.12;16:00:00;98044;98379;97864;97874;159313;645714;5
2019.02.12;17:00:00;97874;98004;97594;97819;135063;562168;5
2019.02.12;18:00:00;97819;97914;97684;97684;6713;32494;5
2019.02.13;09:00:00;98067;98542;97872;98492;132405;413534;0
2019.02.13;10:00:00;98492;98532;97907;98167;214083;697379;5
2019.02.13;11:00:00;98167;98342;97487;97897;210946;730706;0
2019.02.13;12:00:00;97897;98312;97727;98207;167544;561858;0
2019.02.13;13:00:00;98202;98282;97492;97522;175235;623068;5
2019.02.13;14:00:00;97522;97657;97077;97492;206924;775082;5
2019.02.13;15:00:00;97492;98232;97442;97977;189529;755859;5
2019.02.13;16:00:00;97967;98222;97697;97822;150590;601596;5
2019.02.13;17:00:00;97822;97842;97312;97422;116514;485380;0
2019.02.13;18:00:00;97417;97722;97397;97702;9591;45617;0
2019.02.14;09:00:00;97845;98166;97631;97851;213603;601387;0
2019.02.14;10:00:00;97851;98026;97226;97351;362148;1003940;5
2019.02.14;11:00:00;97351;97631;96816;96841;307324;870650;5
2019.02.14;12:00:00;96846;97106;96501;97036;199042;675552;5
2019.02.14;13:00:00;97036;97641;96946;97506;178675;704956;5
2019.02.14;14:00:00;97506;97591;97126;97466;143953;527023;5
2019.02.14;15:00:00;97471;98461;97471;98261;194857;783005;5
2019.02.14;16:00:00;98261;98426;97761;97976;151270;598528;5
2019.02.14;17:00:00;97981;99901;97931;99826;202720;835704;5
2019.02.14;18:00:00;99836;99851;99641;99781;9448;40375;5
2019.02.15;09:00:00;99443;99780;99210;99550;265769;779502;0
2019.02.15;10:00:00;99540;100000;99035;99725;313626;1023466;5
2019.02.15;11:00:00;99725;99880;98945;99195;267774;879470;5
2019.02.15;12:00:00;99195;99760;98745;98815;240874;819279;5
2019.02.15;13:00:00;98825;99255;98765;99175;182542;627913;5
2019.02.15;14:00:00;99170;99580;98905;99100;202177;710431;5
2019.02.15;15:00:00;99105;99300;98925;99100;130662;486191;5
2019.02.15;16:00:00;99100;99280;98855;99210;135070;516458;5
2019.02.15;17:00:00;99210;99420;98940;99245;119284;483287;5
2019.02.15;18:00:00;99250;99285;99060;99080;7619;32445;5
2019.02.18;09:00:00;98717;98801;98326;98621;215873;623160;0
2019.02.18;10:00:00;98626;98856;98276;98416;248622;802907;5
2019.02.18;11:00:00;98416;98606;98206;98411;197311;690130;5
2019.02.18;12:00:00;98411;98431;98031;98146;139339;501244;5
2019.02.18;13:00:00;98146;98331;98056;98076;114140;424142;5
2019.02.18;14:00:00;98076;98136;97876;98116;123930;472781;5
2019.02.18;15:00:00;98126;98501;98076;98501;127622;451239;5
2019.02.18;16:00:00;98496;98626;97991;98326;168186;648370;5
2019.02.18;17:00:00;98326;98351;97881;98066;88276;385820;5
2019.02.18;18:00:00;98071;98181;97956;98181;5690;33319;5
2019.02.19;09:00:00;97971;98702;97787;98582;266957;836798;0
2019.02.19;10:00:00;98577;99137;98432;98907;293424;976826;5
2019.02.19;11:00:00;98902;99567;98802;99307;272900;941309;5
2019.02.19;12:00:00;99312;99642;99182;99352;193230;691296;5
2019.02.19;13:00:00;99352;99902;99307;99737;203800;750387;5
2019.02.19;14:00:00;99742;99742;99457;99537;164214;618482;5
2019.02.19;15:00:00;99542;99577;99317;99417;130154;524772;5
2019.02.19;16:00:00;99422;99682;99342;99432;145974;600708;5
2019.02.19;17:00:00;99437;99507;98807;99002;126944;532365;5
2019.02.19;18:00:00;98992;99062;98927;98967;8735;34660;5
2019.02.20;09:00:00;99221;99837;99130;99627;240705;803554;0
2019.02.20;10:00:00;99627;100227;99617;99767;330495;1080159;5
2019.02.20;11:00:00;99767;99927;98537;99202;417956;1419125;5
